id,gameId,name,platformName,gameType,imageUrl,localImage
"11897","blobsterscluster","Blobsters ClusterBuster™","REDTIGER","5","https://pub.imgscache.com/compic/a77960ff-2525-43a8-81ad-e0957778f9c8.webp","images/REDTIGER__Blobsters_ClusterBuster__11897.webp"
"14112","StandAloneHiloNE","Hilo Neon","GEMH","8","https://pub.imgscache.com/compic/7f39c3f6-975e-42ef-b1c9-c62ad860b591.webp","images/GEMH__Hilo_Neon__14112.webp"
"11554","3_5","San Gong","TPG","5","https://pub.imgscache.com/compic/17a87ce5-72df-427e-b29f-ad82ea129273.webp","images/TPG__San_Gong__11554.webp"
"10643","SGMummyMoney","Mummy Money","HBN","5","https://pub.imgscache.com/compic/c55f7bb4-b7a5-4bc1-81dd-8279e67caf5e.webp","images/HBN__Mummy_Money__10643.webp"
"13245","110012","Basketball","EVOPLAY","5","https://pub.imgscache.com/compic/1027d9f0-b022-4925-9f3c-5be81e4e5d55.webp","images/EVOPLAY__Basketball__13245.webp"
"10830","agentroyale00000","Agent Royale","REDTIGER","5","https://pub.imgscache.com/compic/4c410bad-5834-490c-96ea-1780d8263e7a.webp","images/REDTIGER__Agent_Royale__10830.webp"
"11550","1_78","Lucky Leprechaun","TPG","5","https://pub.imgscache.com/compic/9d39d45c-427f-446f-bbe7-3c2cb1c7a706.webp","images/TPG__Lucky_Leprechaun__11550.webp"
"14162","517","Roma X Deluxe","JILI","5","https://pub.imgscache.com/compic/0d6ad60f-820d-4d17-9c3f-6d9daeb64c7c.webp","images/JILI__Roma_X_Deluxe__14162.webp"
"13406","410010","Pop Zen","BGAMING","5","https://pub.imgscache.com/compic/1b855f16-2fa8-4f53-99ef-ed3863dface5.webp","images/BGAMING__Pop_Zen__13406.webp"
"13728","TanukiTavern","Tanuki Tavern","KA GAMING","5","https://pub.imgscache.com/compic/1c52b7ef-d645-47ff-bdfa-c412999e55ad.webp","images/KA_GAMING__Tanuki_Tavern__13728.webp"
"13277","110231","Goddess of the Night","EVOPLAY","5","https://pub.imgscache.com/compic/09d5689d-aa50-4a12-9b31-c8715b6d2605.webp","images/EVOPLAY__Goddess_of_the_Night__13277.webp"
"13654","BookOfMummy","Book of Mummy","KA GAMING","5","https://pub.imgscache.com/compic/31ba7542-42ac-477d-b0a3-b5cb83cc8290.webp","images/KA_GAMING__Book_of_Mummy__13654.webp"
"13897","DTP0000000000001","Dragon Tiger Phoenix","EVOLUTION","17","https://pub.imgscache.com/compic/d9f20a31-7894-4e10-b28b-741d8b9b626c.webp","images/EVOLUTION__Dragon_Tiger_Phoenix__13897.webp"
"10651","SGRideEmCowboy","Ride 'em Cowboy","HBN","5","https://pub.imgscache.com/compic/586deb4e-ca06-412d-9a9c-db07909f6e53.webp","images/HBN__Ride_em_Cowboy__10651.webp"
"11047","202","OrientalBeauty","CQ9","5","https://pub.imgscache.com/compic/89ce5d4a-d919-446b-bd27-0098efdce38a.webp","images/CQ9__OrientalBeauty__11047.webp"
"10592","SGScruffyScallywags","Scruffy Scallywags","HBN","5","https://pub.imgscache.com/compic/4af896f2-a1d4-48fd-b2b8-66ad75e83969.webp","images/HBN__Scruffy_Scallywags__10592.webp"
"13733","WalkingOz","Walking Oz","KA GAMING","5","https://pub.imgscache.com/compic/53a07414-e0c6-4679-a6a2-8cc1bb06fb3e.webp","images/KA_GAMING__Walking_Oz__13733.webp"
"10982","7","RaveJump","CQ9","5","https://pub.imgscache.com/compic/13051fd7-5698-4606-b476-1c9954da6ef6.webp","images/CQ9__RaveJump__10982.webp"
"14012","VPCQS03","Disco Piggy","CQ9","5","https://pub.imgscache.com/compic/6b1d1f36-2af7-44e0-9935-f99d9138e416.webp","images/CQ9__Disco_Piggy__14012.webp"
"13418","410147","Top Eagle","BGAMING","3","https://pub.imgscache.com/compic/5aba1d4a-2c44-4f05-9f0d-dbfca6cdca37.webp","images/BGAMING__Top_Eagle__13418.webp"
"13582","234","Spanish Roulette","PP","17","https://pub.imgscache.com/compic/db80d29a-3a85-4ca5-b7b1-8409a9c88506.webp","images/PP__Spanish_Roulette__13582.webp"
"13403","410027","Mummy'S Gold","BGAMING","5","https://pub.imgscache.com/compic/d420c26f-c2c7-4e88-8f5b-42f6361bb5b8.webp","images/BGAMING__Mummy_S_Gold__13403.webp"
"12599","fizzypennlotv194","Fizzy Pennyslot","BTG","5","https://pub.imgscache.com/compic/841a9799-33a1-43dd-b135-7459b1c00084.webp","images/BTG__Fizzy_Pennyslot__12599.webp"
"10613","SGWickedWitch","Wicked Witch","HBN","5","https://pub.imgscache.com/compic/15441b40-545c-448e-aafd-b2d12f8655fb.webp","images/HBN__Wicked_Witch__10613.webp"
"12886","021","Fortune Lions 7","YGR","5","https://pub.imgscache.com/compic/c2ece4f4-2b1c-4c73-89ec-956146c07c5d.webp","images/YGR__Fortune_Lions_7__12886.webp"
"13328","110016","Vegas Nights","EVOPLAY","5","https://pub.imgscache.com/compic/a365c599-7cf6-48a6-bd29-4239a2077c25.webp","images/EVOPLAY__Vegas_Nights__13328.webp"
"10529","61","Flirting Scholar","PG","5","https://pub.imgscache.com/compic/5a75d991-f5d8-4759-a048-d0414bccbd8d.webp","images/PG__Flirting_Scholar__10529.webp"
"11927","hot4cashdx100000","Hot 4 Cash","NLC","5","https://pub.imgscache.com/compic/e6ad6363-0e03-4186-b9d6-1b7acae339b3.webp","images/NLC__Hot_4_Cash__11927.webp"
"11019","124","Invincible Elephant","CQ9","5","https://pub.imgscache.com/compic/b6259cff-d57b-4af8-8e97-54a9b625fc38.webp","images/CQ9__Invincible_Elephant__11019.webp"
"10994","32","Detective Dee","CQ9","5","https://pub.imgscache.com/compic/4f6afc85-d524-4563-b3ae-043450747241.webp","images/CQ9__Detective_Dee__10994.webp"
"12748","201232","Mayan Stackways","HACKSAW","5","https://pub.imgscache.com/compic/21bf677b-235d-4aa2-8399-e343c6778bd8.webp","images/HACKSAW__Mayan_Stackways__12748.webp"
"12003","PSS-ON-00024","Fa Fa Monkey","PLAYSTAR","5","https://pub.imgscache.com/compic/0b1c25ee-9c3d-45e1-92e1-6e4651d76da9.webp","images/PLAYSTAR__Fa_Fa_Monkey__12003.webp"
"10822","hellskitchenr000","Gordon Ramsay Hell’s Kitchen","NETENT","5","https://pub.imgscache.com/compic/e170a314-6905-4a68-a975-dc3cdd0bf391.webp","images/NETENT__Gordon_Ramsay_Hell_s_Kitchen__10822.webp"
"12627","thefinalcownv194","The Final Countdown","BTG","5","https://pub.imgscache.com/compic/9d70c089-3e95-45dd-8ba6-3cf25339ef57.webp","images/BTG__The_Final_Countdown__12627.webp"
"14196","vs20chicken","The Great Chicken Escape","PP","5","https://pub.imgscache.com/compic/356a8d53-ac6e-443b-83c8-f4ca93bb071e.webp","images/PP__The_Great_Chicken_Escape__14196.webp"
"14043","PSS-ON-00167","Deng Deng","PLAYSTAR","5","https://pub.imgscache.com/compic/a1233848-ae9a-41a4-b531-a187d150f390.webp","images/PLAYSTAR__Deng_Deng__14043.webp"
