id,name,provider,rank,categories,imageUrl,localImage
"30","Tian Ci Jin Long","","30","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm29.webp","images/unknown__Tian_Ci_Jin_Long__30.webp"
"31","Jungle Bang Bang","","31","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22084_h5_260701205449.webp","images/unknown__Jungle_Bang_Bang__31.webp"
"32","Long Yi Fa","","32","","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/nosmlongyifa.webp","images/unknown__Long_Yi_Fa__32.webp"
"33","Super Ace Deluxe","","33","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_403_h5_260701201213.webp","images/unknown__Super_Ace_Deluxe__33.webp"
"34","Fruity Bonanza","JDB","34","Slots","https://cp-images.casinoplus.live/images/cpms/jdb/mobile/0_14085.webp","images/JDB__Fruity_Bonanza__34.webp"
"35","Lion Link","","35","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm19.webp","images/unknown__Lion_Link__35.webp"
"36","Tikbalang","","36","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3039_slot008_h5_260701203026.webp","images/unknown__Tikbalang__36.webp"
"37","5 Dragons Gold Mystery","","37","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm34.webp","images/unknown__5_Dragons_Gold_Mystery__37.webp"
"38","Sweet Bonanza 1000","PP","38","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20fruitswx.webp","images/PP__Sweet_Bonanza_1000__38.webp"
"39","Huff n","","39","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm13.webp","images/unknown__Huff_n__39.webp"
"40","Pinata Wins","","40","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3034_1492288_h5_260701210151.webp","images/unknown__Pinata_Wins__40.webp"
"41","Squid Game","","41","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm25.webp","images/unknown__Squid_Game__41.webp"
"42","Fortune Gems","","42","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_109_h5_260701192253.webp","images/unknown__Fortune_Gems__42.webp"
"43","Bull Blitz","","43","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm5.webp","images/unknown__Bull_Blitz__43.webp"
"44","Poker Win","","44","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3043_22060_h5_260701204823.webp","images/unknown__Poker_Win__44.webp"
"45","Big Fu Cash","","45","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm4.webp","images/unknown__Big_Fu_Cash__45.webp"
"46","Sugar Rush 1000","","46","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3031_vs20sugarrushx_h5_260701200459.webp","images/unknown__Sugar_Rush_1000__46.webp"
"47","Mighty Cash","","47","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm22.webp","images/unknown__Mighty_Cash__47.webp"
"48","Halloween","","48","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3081/PSS-ON-00051.webp","images/unknown__Halloween__48.webp"
"49","Dragon Trio","","49","Slot Machines","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/170/osm9.webp","images/unknown__Dragon_Trio__49.webp"
